Name,Current Price,MRP,Discount,Delivery,Stars,Rating,Reviews
Fastrack Optimus Pro with 1.43 AMOLED Display & AOD(466...,"₹2,995","₹5,995",50% off,Free delivery,4.3,"32,603 Ratings "," 2,083 Reviews"
"Boult Crown 1.95'' Screen, BT Calling, Working Crown, Z...","₹1,499","₹4,499",66% off,Free delivery,4.2,"1,04,703 Ratings "," 7,847 Reviews"
"Noise Vision 3 with 1.96"" AMOLED display with Thin Beze...","₹2,999","₹7,999",62% off,Free delivery,4.2,"32,119 Ratings "," 2,236 Reviews"
Fire-Boltt Nnja Talk 35.3mm (1.39) Round Bluetooth Call...,"₹1,399","₹11,999",88% off,Free delivery,4.1,"3,72,371 Ratings "," 61,539 Reviews"
"Noise Twist Go 1.39'' Display, Bluetooth Calling, Metal...","₹1,399","₹4,999",72% off,Free delivery,4.2,"1,34,469 Ratings "," 8,277 Reviews"
Fastrack Revoltt FS1-1.85''|Advanced Blazing Fast UI|Wo...,"₹1,399","₹3,799",63% off,Free delivery,4.2,"3,16,085 Ratings "," 20,634 Reviews"
Fastrack Revoltt FS2+|2.01'' Display|Functional Crown|B...,"₹1,599","₹2,995",46% off,Free delivery,4.3,"27,827 Ratings "," 1,552 Reviews"
"Noise Pulse 3 1.96'' Display, BT Calling, 100 Sports Mo...","₹1,399","₹6,999",80% off,Free delivery,4.1,"66,114 Ratings "," 3,707 Reviews"
"Noise Vortex Plus, 1.46'' AMOLED Display, BT Calling, S...","₹2,999","₹6,999",57% off,Free delivery,4.2,"98,393 Ratings "," 7,315 Reviews"
Fastrack Revoltt X2 with 1.91'' BT Calling|Rotating Cro...,"₹1,699","₹2,995",43% off,Free delivery,4.2,"1,298 Ratings ", 76 Reviews
Fire-Boltt Hurricane 33.02mm (1.3) Curved Glass Display...,"₹1,399","₹8,999",84% off,Free delivery,4.1,"2,88,410 Ratings "," 33,227 Reviews"
"Boult Striker+ 1.39"" HD, BT Calling, Zinc Alloy Frame, ...","₹1,299","₹3,999",67% off,Free delivery,3.9,"8,558 Ratings ", 627 Reviews
"Noise Pulse 3 1.96'' Display, BT Calling, 100 Sports Mo...","₹1,399","₹6,999",80% off,Free delivery,4.1,"66,114 Ratings "," 3,707 Reviews"
Fastrack Revolt Pro-1.97'' Super AMOLED Display|AOD|Wor...,"₹2,499","₹4,999",50% off,Free delivery,4.3,"1,37,227 Ratings "," 9,217 Reviews"
"boAt Storm Infinity, 15 Days Huge Battery(550 mAh), Fas...","₹1,599","₹5,999",73% off,Bank Offer,4.2,997 Ratings , 187 Reviews
Fire-Boltt Ninja Calling Pro Plus 46.5mm (1.83) Display...,"₹1,399","₹9,999",86% off,Free delivery,4.1,"3,80,667 Ratings "," 46,716 Reviews"
